Z,mus,mup,mum,phis,phip,phim
0.7661,0.0188134506253443,-6.33376928283475,-5.63753022875113,0.950823322022074,0.00174621581614737,0.00350330221405625
0.7663,0.0188134569603394,-6.33376928281066,-5.63753022937398,0.950823320804154,0.00174621613550792,0.00350330255569369
0.7665,0.0188134632953127,-6.33376928278589,-5.6375302299969,0.950823317126388,0.00174621648181232,0.00350330301681184
0.7667,0.0188134696302714,-6.33376928276105,-5.63753023062,0.950823310578942,0.00174621685954909,0.00350330361731676
0.7669,0.0188134759652475,-6.33376928273668,-5.63753023124298,0.950823300683675,0.00174621727395679,0.00350330438043416
0.7671,0.0188134823002055,-6.33376928271199,-5.63753023186575,0.950823286882749,0.00174621773114498,0.00350330533325888
0.7673,0.0188134886351671,-6.33376928268759,-5.63753023248887,0.950823268525357,0.00174621823824165,0.00350330650740164
0.7675,0.0188134949700973,-6.33376928266293,-5.63753023311177,0.950823244852229,0.00174621880356283,0.00350330793974148
0.7677,0.0188135013050334,-6.3337692826386,-5.63753023373476,0.950823214977562,0.00174621943681134,0.00350330967330425
0.7679,0.0188135076399713,-6.33376928261464,-5.63753023435773,0.950823177867927,0.00174622014930589,0.00350331175828519
0.7681,0.0188135139748854,-6.33376928258994,-5.6375302349807,0.950823132317677,0.00174622095425142,0.00350331425324451
0.7683,0.0188135203097976,-6.33376928256519,-5.63753023560355,0.950823076920248,0.00174622186705325,0.00350331722650116
0.7685,0.0188135266447029,-6.3337692825407,-5.63753023622663,0.950823010034676,0.00174622290568194,0.00350332075775732
0.7687,0.018813532979591,-6.33376928251597,-5.63753023684983,0.950822929746542,0.00174622409110349,0.00350332493999776
0.7689,0.0188135393144638,-6.33376928249146,-5.63753023747277,0.950822833822403,0.00174622544777643,0.0035033298817012
0.7691,0.0188135456493117,-6.33376928246666,-5.63753023809583,0.950822719656636,0.00174622700423339,0.00350333570942175
0.7693,0.0188135519841381,-6.33376928244232,-5.63753023871872,0.950822584209419,0.00174622879375969,0.00350334257080051
0.7695,0.0188135583189464,-6.33376928241815,-5.63753023934177,0.95082242393439,0.00174623085518519,0.00350335063807904
0.7697,0.018813564653725,-6.3337692823938,-5.63753023996488,0.950822234694239,0.00174623323380651,0.0035033601121968
0.7699,0.0188135709884625,-6.33376928236944,-5.63753024058784,0.950822011662258,0.00174623598246275,0.00350337122757106
0.7701,0.0188135773231617,-6.33376928234484,-5.63753024121097,0.950821749207475,0.00174623916279148,0.00350338425767387
0.7703,0.018813583657802,-6.33376928232032,-5.63753024183411,0.950821440760664,0.00174624284669045,0.00350339952153489
0.7705,0.0188135899923993,-6.33376928229639,-5.63753024245716,0.950821078658043,0.00174624711802636,0.00350341739133036
0.7707,0.0188135963269148,-6.33376928227182,-5.63753024308039,0.950820653958937,0.00174625207462169,0.00350343830123014
0.7709,0.0188136026613342,-6.33376928224747,-5.63753024370352,0.950820156233084,0.00174625783057364,0.00350346275771859
0.7711,0.018813608995645,-6.33376928222324,-5.63753024432661,0.950819573312534,0.00174626451895827,0.00350349135163326
0.7713,0.0188136153298274,-6.33376928219906,-5.63753024494987,0.950818891002247,0.00174627229497855,0.00350352477220146
0.7715,0.018813621663846,-6.33376928217493,-5.6375302455731,0.950818092742537,0.00174628133963412,0.00350356382341085
0.7717,0.0188136279976604,-6.33376928215044,-5.63753024619649,0.950817159215342,0.001746291863996,0.00350360944309852
0.7719,0.0188136343312251,-6.33376928212627,-5.63753024682012,0.95081606788502,0.00174630411418325,0.00350366272520684
0.7721,0.0188136406644604,-6.33376928210242,-5.6375302474436,0.950814792462775,0.00174631837715992,0.00350372494573321
0.7723,0.018813646997284,-6.33376928207854,-5.63753024806779,0.950813302282069,0.00174633498747882,0.0035037975929778
0.7725,0.0188136533295905,-6.33376928205543,-5.63753024869202,0.950811561570264,0.001746354335129,0.00350388240280122
0.7727,0.018813659661226,-6.33376928203278,-5.63753024931659,0.95080952859931,0.00174637687465802,0.00350398139971087
0.7729,0.0188136659920023,-6.33376928201039,-5.63753024994198,0.950807154695478,0.00174640313577549,0.0035040969447359
0.7731,0.0188136723216637,-6.3337692819896,-5.63753025056785,0.950804383084873,0.00174643373566467,0.00350423179119536
0.7733,0.0188136786498379,-6.33376928196906,-5.63753025119492,0.950801147547623,0.00174646939327315,0.00350438914965126
0.7735,0.01881368497613,-6.33376928195053,-5.63753025182361,0.95079737084928,0.00174651094587898,0.00350457276353136
0.7737,0.0188136912998834,-6.33376928193315,-5.63753025245415,0.950792962912809,0.00174655936827367,0.00350478699714456
0.7739,0.0188136976203352,-6.33376928191936,-5.63753025308713,0.95078781868868,0.00174661579495479,0.00350503693808594
0.7741,0.0188137039363955,-6.3337692819089,-5.63753025372417,0.950781815673721,0.00174668154575364,0.00350532851632178
0.7743,0.0188137102466149,-6.33376928190302,-5.63753025436624,0.950774811021542,0.0017467581553805,0.00350566864259962
0.7745,0.0188137165490868,-6.33376928190485,-5.63753025501516,0.950766638178281,0.00174684740741275,0.00350606536921636
0.7747,0.0188137228411995,-6.33376928191542,-5.63753025567324,0.950757102967021,0.00174695137329908,0.0035065280766214
0.7749,0.0188137291194626,-6.33376928193832,-5.63753025634448,0.950745979032368,0.0017470724569749,0.00350706768980885
0.7751,0.0188137353791963,-6.33376928197881,-5.63753025703283,0.950733002543069,0.00174721344572695,0.00350769692901453
0.7753,0.0188137416140578,-6.33376928204295,-5.63753025774494,0.950717866035218,0.00174737756790914,0.00350843059979237
0.7755,0.0188137478155476,-6.33376928213822,-5.63753025848953,0.950700211261139,0.00174756855810115,0.00350928592820342
0.7757,0.0188137539721997,-6.33376928227623,-5.63753025927848,0.950679620889564,0.0017477907301647,0.00351028294747649
0.7759,0.0188137600685982,-6.33376928247269,-5.63753026012749,0.950655608880957,0.00174804905850707,0.0035114449432005
0.7761,0.0188137660839806,-6.33376928274741,-5.63753026105896,0.950627609337857,0.00174834926752803,0.00351279896472369
0.7763,0.0188137719904696,-6.33376928312829,-5.63753026210266,0.950594963604018,0.00174869792878426,0.00351437641103095
0.7765,0.018813777750631,-6.33376928365215,-5.63753026329989,0.950556905358106,0.0017491025647032,0.00351621369979887
0.7767,0.0188137833143158,-6.33376928436912,-5.63753026470653,0.950512543418402,0.00174957175669479,0.00351835302854896
0.7769,0.0188137886143753,-6.33376928534528,-5.63753026639975,0.950460841945056,0.00175011525409731,0.00352084323666461
0.7771,0.0188137935612434,-6.3337692866708,-5.63753026848459,0.950400597697426,0.00175074407847557,0.00352374077638416
0.7773,0.0188137980356564,-6.33376928846393,-5.63753027110511,0.95033041397767,0.00175147061513751,0.00352711079944732
0.7775,0.0188138018794352,-6.33376929088343,-5.63753027445931,0.950248670870954,0.00175230868023509,0.00353102836364184
0.7777,0.0188138048834984,-6.3337692941373,-5.6375302788179,0.950153491381113,0.00175327354719469,0.00353557975967538
0.7779,0.0188138067729181,-6.33376929849984,-5.63753028455359,0.950042703063533,0.00175438191026401,0.00354086395318476
0.7781,0.0188138071880547,-6.33376930432999,-5.63753029217757,0.949913794781156,0.00175565175544274,0.00354699412882575
0.7783,0.018813805661682,-6.33376931209444,-5.6375303023927,0.949763868263513,0.00175710209981052,0.00355409931276692
0.7785,0.0188138015914083,-6.33376932239406,-5.63753031616548,0.949589584243334,0.0017587525491794,0.00356232603603737
0.7787,0.0188137942078762,-6.33376933599539,-5.63753033482458,0.949387103093671,0.00176062261133855,0.00357183998378671
0.7789,0.0188137825392686,-6.33376935386944,-5.63753036019549,0.949152020105415,0.00176273068840169,0.00358282755447021
0.7791,0.0188137653742186,-6.33376937722462,-5.63753039478443,0.948879295847286,0.00176509265825572,0.00359549722887887
0.7793,0.0188137412267492,-6.3337694075455,-5.63753044202654,0.948563182453962,0.00176771994383277,0.00361008062300095
0.7795,0.0188137083091356,-6.3337694466218,-5.63753050661643,0.948197147207297,0.00177061696341937,0.00362683307364493
0.7797,0.0188136645218014,-6.33376949656145,-5.63753059494745,0.947773795418642,0.0017737778603047,0.00364603358571811
0.7799,0.0188136074724281,-6.3337695597771,-5.63753071568101,0.94728479538421,0.00177718243244098,0.00366798396132207
0.7801,0.0188135345402681,-6.33376963892772,-5.63753088047196,0.946720809049815,0.00178079123058279,0.00369300694169893
0.7803,0.0188134430041628,-6.33376973680037,-5.63753110486982,0.946071432940313,0.00178453987526387,0.00372144323330844
0.7805,0.0188133302526715,-6.33376985610101,-5.63753140939625,0.945325154804436,0.00178833276639624,0.00375364736881053
0.7807,0.0188131940915906,-6.33376999914776,-5.63753182078365,0.944469332181578,0.00179203652704393,0.00378998247951833
0.7809,0.0188130331535284,-6.33377016744057,-5.63753237330986,0.943490199560706,0.00179547372881682,0.00383081422811144
0.7811,0.0188128473978718,-6.33377036113087,-5.6375331101247,0.942372910793388,0.0017984176697877,0.00387650435698142
0.7813,0.0188126386647904,-6.33377057841816,-5.63753408439695,0.941101622759948,0.00180058917810711,0.00392740451979319
0.7815,0.0188124112197746,-6.33377081499025,-5.63753536006557,0.939659624821017,0.00180165653817374,0.00398385123442896
0.7817,0.0188121721998812,-6.33377106364693,-5.63753701194711,0.938029516250187,0.0018012396128015,0.00404616286373265
0.7819,0.0188119318602095,-6.33377131435294,-5.63753912496663,0.936193430704522,0.00179891900090528,0.00411463943527709
